Model,Accuracy,Precision (0),Precision (1),Recall (0),Recall (1),F1 (0),F1 (1)
Decision Tree,0.9565217391304348,0.9523809523809523,1.0,1.0,0.6666666666666666,0.975609756097561,0.8
Random Forest,0.9565217391304348,0.9523809523809523,1.0,1.0,0.6666666666666666,0.975609756097561,0.8
XGBoost,0.9565217391304348,0.9523809523809523,1.0,1.0,0.6666666666666666,0.975609756097561,0.8
KNN,0.8695652173913043,0.9047619047619048,0.5,0.95,0.3333333333333333,0.926829268292683,0.4
